13	131
13	140
43	138
13	126
22	131
94	126
126	137
126	140
94	140
137	140
44	88
22	131
126	137
94	140
126	140
137	140
13	140
26	42
22	26
94	126
33	140
26	131
13	126
126	128
43	138
26	131
22	26
94	126
126	137
94	140
126	140
137	140
13	140
13	126
33	140
88	140
131	140
13	140
126	140
126	137
94	126
13	126
30	43
94	140
137	140
22	140
26	140
33	140
131	140
88	140
33	140
131	140
30	43
126	137
94	126
13	33
13	140
13	126
94	140
126	140
88	140
137	140
64	126
57	116
13	137
13	94
13	126
94	126
126	137
126	140
13	140
94	140
137	140
26	126
131	140
137	140
94	140
94	126
33	116
33	140
126	140
13	126
126	137
16	70
34	103
23	33
43	60
13	140
33	126
22	43
30	130
111	125
31	125
72	125
34	125
125	138
126	128
30	138
16	128
16	127
33	44
85	138
3	16
54	125
56	125
125	143
77	138
16	70
134	138
85	138
30	138
33	140
131	140
33	44
43	142
34	103
94	126
88	125
57	138
30	134
15	75
43	66
16	144
16	127
30	130
126	137
94	140
13	140
137	140
126	140
121	130
13	126
109	140
67	140
130	132
22	140
72	125
17	59
46	59
43	60
30	77
3	16
16	128
44	125
87	125
87	88
59	87
87	128
76	87
87	122
24	87
87	138
64	87
131	140
33	140
126	140
30	138
34	138
88	140
94	126
126	137
16	70
13	88
15	68
30	77
130	134
130	138
30	130
130	142
100	130
130	132
89	130
116	130
80	130
121	130
134	138
30	134
34	103
94	140
137	140
13	140
44	88
13	126
43	138
85	138
16	128
30	43
77	138
33	116
30	89
13	137
13	94
88	113
88	128
46	88
87	88
68	88
64	88
16	127
44	125
109	140
67	140
23	140
16	128
16	78
126	137
13	137
77	138
134	138
85	138
13	94
33	140
131	140
36	140
16	70
88	140
13	140
30	134
130	138
30	138
94	126
94	140
126	140
137	140
13	33
34	103
70	128
13	126
44	125
117	125
16	127
30	77
16	66
67	140
109	140
23	140
43	138
76	88
59	88
88	117
44	88
30	130
111	138
64	65
64	108
3	16
103	138
34	138
59	87
30	77
13	126
16	127
16	70
13	94
43	60
57	138
94	137
126	137
13	137
137	140
26	137
87	88
83	113
64	87
16	144
40	56
30	130
130	138
34	103
13	131
30	138
30	121
13	140
26	131
94	126
64	108
31	64
130	132
130	142
121	130
130	134
89	130
100	130
116	130
80	130
111	138
34	60
126	140
25	138
13	26
4	64
89	138
30	134
22	26
16	78
94	140
59	87
46	87
131	140
104	126
26	78
13	33
43	138
16	128
43	97
13	88
64	113
15	68
33	140
26	94
